alert_id,transaction_id,customer_id,account_id,alert_date,scenario,alert_score,alert_status,priority,assigned_analyst,resolution_date,false_positive
ALT00001,TXN001653,CUST0485,ACC00634,2022-05-05 00:25:00,PEP Transaction,80,Open,Low,Analyst_06,,No
ALT00002,TXN002798,CUST0379,ACC00496,2024-02-28 08:52:00,Rapid Movement,87,Open,High,Analyst_10,,No
ALT00003,TXN000031,CUST0345,ACC00451,2022-09-02 21:51:00,PEP Transaction,88,Under Review,Medium,Analyst_05,,No
ALT00004,TXN000358,CUST0016,ACC00022,2024-01-03 02:23:00,High-Risk Geography,77,Closed-False Positive,Medium,Analyst_02,2024-02-05 11:56:00,No
ALT00005,TXN000470,CUST0491,ACC00642,2023-01-23 14:10:00,Rapid Movement,65,Open,Low,Analyst_09,,No
ALT00006,TXN000305,CUST0112,ACC00150,2024-04-10 11:57:00,High-Risk Geography,98,Open,Medium,Analyst_06,,No
ALT00007,TXN004623,CUST0462,ACC00604,2024-08-16 08:40:00,Round-Trip Transaction,44,Under Review,Medium,Analyst_01,,Yes
ALT00008,TXN001542,CUST0284,ACC00373,2024-02-20 17:09:00,Structuring,100,Under Review,Medium,Analyst_10,,No
ALT00009,TXN004079,CUST0431,ACC00563,2023-10-01 15:10:00,High-Risk Geography,41,Closed-False Positive,Medium,Analyst_08,2023-11-28 16:31:00,No
ALT00010,TXN000277,CUST0491,ACC00642,2024-03-06 07:52:00,Layering,62,Under Review,High,Analyst_04,,Yes
ALT00011,TXN001358,CUST0054,ACC00076,2023-08-16 20:02:00,Layering,30,Closed-False Positive,Medium,Analyst_04,2023-09-25 17:47:00,No
ALT00012,TXN004344,CUST0162,ACC00215,2023-10-31 15:01:00,Dormant Account Activity,71,Under Review,Medium,Analyst_03,,Yes
ALT00013,TXN003228,CUST0279,ACC00365,2023-06-16 05:44:00,Dormant Account Activity,69,Closed-False Positive,Medium,Analyst_02,2023-08-04 09:23:00,No
ALT00014,TXN004465,CUST0028,ACC00039,2024-07-09 10:43:00,Layering,60,Open,High,Analyst_02,,Yes
ALT00015,TXN000290,CUST0073,ACC00103,2023-10-24 15:45:00,High-Risk Geography,79,Closed-SAR Filed,Medium,Analyst_05,2023-12-13 13:43:00,No
ALT00016,TXN003871,CUST0087,ACC00120,2023-11-21 02:25:00,PEP Transaction,35,Open,High,Analyst_04,,No
ALT00017,TXN002685,CUST0111,ACC00148,2022-06-22 18:43:00,Round-Trip Transaction,67,Open,Medium,Analyst_06,,Yes
ALT00018,TXN004263,CUST0352,ACC00462,2023-04-26 09:34:00,PEP Transaction,77,Open,Low,Analyst_07,,No
ALT00019,TXN001912,CUST0402,ACC00528,2023-03-18 09:45:00,Layering,49,Closed-False Positive,High,Analyst_01,2023-05-13 05:31:00,Yes
ALT00020,TXN004236,CUST0362,ACC00476,2023-12-02 19:53:00,PEP Transaction,83,Closed-False Positive,Medium,Analyst_05,2024-01-31 13:20:00,No
ALT00021,TXN000106,CUST0211,ACC00282,2024-11-10 23:45:00,High-Risk Geography,99,Closed-False Positive,High,Analyst_05,2024-12-03 20:53:00,No
ALT00022,TXN002401,CUST0195,ACC00259,2023-01-29 04:14:00,High-Risk Geography,70,Closed-SAR Filed,Medium,Analyst_06,2023-02-24 09:55:00,No
ALT00023,TXN000689,CUST0248,ACC00327,2022-07-22 08:45:00,PEP Transaction,36,Under Review,Low,Analyst_01,,No
ALT00024,TXN004895,CUST0205,ACC00274,2023-08-12 14:44:00,High-Risk Geography,34,Closed-SAR Filed,High,Analyst_02,2023-10-10 18:20:00,Yes
ALT00025,TXN000884,CUST0205,ACC00274,2024-06-15 21:58:00,Structuring,74,Under Review,Medium,Analyst_07,,Yes
ALT00026,TXN004865,CUST0324,ACC00426,2022-01-16 20:44:00,Round-Trip Transaction,31,Escalated,Medium,Analyst_10,2022-03-05 04:21:00,No
