transaction_id,sender_account_id,receiver_account_id,transaction_type,amount,currency,transaction_date,channel,country_origin,country_destination,transaction_status,remarks
TXN000001,ACC00016,ACC00465,Wire Transfer,464.48,USD,2024-05-31 11:42:00,ATM,Japan,Canada,Completed,Loan Repayment
TXN000002,ACC00515,ACC00575,Wire Transfer,171801.0,INR,2022-06-15 09:14:00,ATM,Canada,Japan,Pending,Trade Settlement
TXN000003,ACC00396,ACC00433,ATM Withdrawal,451865.14,GBP,2022-12-21 18:27:00,SWIFT,Bahamas,Canada,Completed,Salary
TXN000004,ACC00257,ACC00139,Cheque,3805.18,INR,2024-08-02 17:11:00,Branch,Germany,Canada,Completed,Trade Settlement
TXN000005,ACC00321,ACC00516,Online Transfer,8420.43,USD,2024-04-20 14:01:00,Mobile,France,Germany,Completed,Personal Transfer
TXN000006,ACC00310,ACC00249,Cheque,24297.56,USD,2022-04-20 12:08:00,Mobile,Singapore,Nigeria,Completed,Business Payment
TXN000007,ACC00087,ACC00057,Wire Transfer,2504.56,USD,2024-09-13 22:21:00,SWIFT,Canada,Nigeria,Completed,Business Payment
TXN000008,ACC00210,ACC00529,Cash Withdrawal,1382.95,USD,2022-11-13 09:40:00,Mobile,Cayman Islands,Singapore,Completed,Business Payment
TXN000009,ACC00157,ACC00619,Wire Transfer,9752.4,GBP,2024-03-11 01:59:00,Mobile,UK,UAE,Reversed,N/A
TXN000010,ACC00241,ACC00560,Cash Deposit,34123.16,EUR,2022-10-27 20:01:00,Online,Singapore,Australia,Completed,Trade Settlement
TXN000011,ACC00560,ACC00206,ATM Withdrawal,350390.99,USD,2023-07-18 12:24:00,Mobile,UK,Cyprus,Pending,Salary
TXN000012,ACC00029,ACC00291,Cash Withdrawal,4168.03,EUR,2024-06-29 01:58:00,Mobile,Nigeria,Seychelles,Completed,Salary
TXN000013,ACC00367,ACC00513,Cash Deposit,29631.43,GBP,2022-05-09 05:41:00,SWIFT,UK,British Virgin Islands,Completed,N/A
TXN000014,ACC00144,ACC00286,Online Transfer,7086.15,EUR,2024-09-17 12:30:00,SWIFT,Germany,Nigeria,Completed,Personal Transfer
TXN000015,ACC00266,ACC00133,ATM Withdrawal,6310.14,EUR,2022-05-19 01:01:00,Online,Germany,France,Completed,Investment
TXN000016,ACC00488,ACC00332,Cheque,49234.46,INR,2022-12-23 23:57:00,Branch,Japan,UK,Completed,Business Payment
